date,region,injection_kwh,total_conso
2024-01-08,SUD,2570.7,2466.9
2024-01-09,SUD,2553.7,2438.4
2024-01-10,SUD,2560.7,2476.2
2024-01-11,SUD,2603.1,2512.3
2024-01-12,SUD,2704.4,2574.1
2024-01-13,SUD,1814.6,1758.9
2024-01-14,SUD,1867.6,1765.3
2024-01-15,SUD,2693.2,2533.8
2024-01-16,SUD,2714.1,2565.1
2024-01-17,SUD,2523.8,2405.7
2024-01-18,SUD,2665.2,2504.9
2024-01-19,SUD,2508.0,2434.7
2024-01-20,SUD,1772.2,1673.9
2024-01-21,SUD,1825.0,1730.5
2024-01-22,SUD,2701.0,2529.5
2024-01-23,SUD,2638.9,2497.6
2024-01-24,SUD,2459.5,2364.1
2024-01-25,SUD,2654.3,2523.2
2024-01-26,SUD,2655.9,2521.0
2024-01-27,SUD,1787.1,1734.9
2024-01-28,SUD,1789.1,1731.8
2024-01-29,SUD,2533.3,2461.6
2024-01-30,SUD,2546.9,2441.9
2024-01-31,SUD,2691.5,2606.3
2024-02-01,SUD,2653.5,2538.0
2024-02-02,SUD,2584.7,2480.4
2024-02-03,SUD,1898.3,1780.8
2024-02-04,SUD,1807.2,1730.2
2024-02-05,SUD,2572.4,2481.7
2024-02-06,SUD,2553.9,2445.5
2024-02-07,SUD,2680.7,2531.6
2024-02-08,SUD,2620.2,2472.5
2024-02-09,SUD,2490.8,2390.6
2024-02-10,SUD,1831.2,1733.5
2024-02-11,SUD,1825.1,1744.0
2024-02-12,SUD,2631.5,2538.9
2024-02-13,SUD,2657.6,2576.4
2024-02-14,SUD,2601.3,2464.4
2024-02-15,SUD,2725.1,2585.3
2024-02-16,SUD,2689.4,2571.8
2024-02-17,SUD,1832.8,1723.3
2024-02-18,SUD,1817.5,1703.5
2024-02-19,SUD,2739.6,2573.0
2024-02-20,SUD,2669.4,2520.0
2024-02-21,SUD,2455.8,2376.2
2024-02-22,SUD,2617.0,2541.3
2024-02-23,SUD,2653.4,2530.2
2024-02-24,SUD,1721.6,1666.1
2024-02-25,SUD,1797.6,1698.7
2024-02-26,SUD,2517.1,2429.0
2024-02-27,SUD,2555.3,2423.6
2024-02-28,SUD,2603.5,2462.7
2024-02-29,SUD,2617.8,2507.2
2024-03-01,SUD,2629.6,2485.7
2024-03-02,SUD,1816.4,1706.8
2024-03-03,SUD,1806.0,1753.9
2024-03-04,SUD,2622.6,2543.2
2024-03-05,SUD,2629.5,2462.9
2024-03-06,SUD,2599.7,2478.8
2024-03-07,SUD,2658.0,2502.8
2024-03-08,SUD,2564.9,2475.5
2024-03-09,SUD,1862.3,1774.4
2024-03-10,SUD,1823.2,1763.4
2024-03-11,SUD,2607.2,2465.7
2024-03-12,SUD,2632.9,2540.7
2024-03-13,SUD,2668.5,2517.1
2024-03-14,SUD,2557.4,2411.8
2024-03-15,SUD,2638.7,2523.5
2024-03-16,SUD,1822.8,1755.6
2024-03-17,SUD,1868.3,1745.8
2024-03-18,SUD,2646.1,2482.2
2024-03-19,SUD,2685.5,2521.0
2024-03-20,SUD,2590.4,2509.8
2024-03-21,SUD,2508.8,2380.4
2024-03-22,SUD,2579.0,2428.9
2024-03-23,SUD,1851.5,1753.5
2024-03-24,SUD,1836.5,1758.3
2024-03-25,SUD,2617.0,2444.1
2024-03-26,SUD,2597.2,2460.6
2024-03-27,SUD,2640.8,2479.5
2024-03-28,SUD,2646.7,2539.8
2024-03-29,SUD,2687.7,2555.5
2024-03-30,SUD,1811.4,1747.4
2024-01-01,EST,3558.0,3349.3
2024-01-02,EST,3572.6,3403.8
2024-01-03,EST,3583.4,3357.9
2024-01-04,EST,3533.6,3407.3
2024-01-05,EST,3526.4,3398.1
2024-01-06,EST,2497.5,2365.0
2024-01-07,EST,2498.6,2357.8
2024-01-08,EST,3607.6,3386.2
2024-01-09,EST,3541.6,3397.5
2024-01-10,EST,3606.8,3414.0
2024-01-11,EST,3631.7,3433.1
2024-01-12,EST,3669.2,3427.2
2024-01-13,EST,2445.0,2351.1
2024-01-14,EST,2393.8,2295.0
2024-01-15,EST,3435.4,3297.5
2024-01-16,EST,3532.1,3340.7
2024-01-17,EST,3557.8,3380.8
2024-01-18,EST,3529.7,3355.1
2024-01-19,EST,3482.0,3338.7
2024-01-20,EST,2418.9,2307.4
2024-01-21,EST,2450.8,2346.7
2024-01-22,EST,3527.5,3391.3
2024-01-23,EST,3569.9,3386.3
2024-01-24,EST,3402.5,3282.9
2024-01-25,EST,3499.2,3369.0
2024-01-26,EST,3612.1,3415.2
2024-01-27,EST,2434.8,2357.7
2024-01-28,EST,2465.4,2360.7
2024-01-29,EST,3634.1,3416.3
2024-01-30,EST,3617.8,3398.0
2024-01-31,EST,3457.2,3355.0
2024-02-01,EST,3547.5,3338.6
2024-02-02,EST,3512.0,3403.2
2024-02-03,EST,2431.4,2358.3
2024-02-04,EST,2386.5,2306.9
2024-02-05,EST,3559.1,3411.9
2024-02-06,EST,3588.5,3371.3
2024-02-07,EST,3571.5,3446.3
2024-02-08,EST,3518.6,3326.4
2024-02-09,EST,3564.0,3349.9
2024-02-10,EST,2484.0,2362.3
2024-02-11,EST,2474.7,2324.4
2024-02-12,EST,3551.0,3438.9
2024-02-13,EST,3588.4,3364.8
2024-02-14,EST,3554.5,3358.9
2024-02-15,EST,3580.0,3349.2
2024-02-16,EST,3537.7,3353.3
2024-02-17,EST,2417.4,2275.0
2024-02-18,EST,2458.5,2340.3
2024-02-19,EST,3625.4,3459.8
2024-02-20,EST,3601.5,3440.7
2024-02-21,EST,3676.5,3470.3
2024-02-22,EST,3537.0,3335.3
2024-02-23,EST,3528.1,3411.1
2024-02-24,EST,2474.0,2330.9
2024-02-25,EST,2508.5,2376.5
2024-02-26,EST,3550.7,3373.4
2024-02-27,EST,3561.8,3409.1
2024-02-28,EST,3675.2,3448.0
2024-02-29,EST,3596.1,3411.1
2024-03-01,EST,3502.2,3386.4
2024-03-02,EST,2464.8,2381.2
2024-03-03,EST,2432.6,2349.8
2024-03-04,EST,3577.4,3394.9
2024-03-05,EST,3523.2,3389.1
2024-03-06,EST,3585.2,3367.3
2024-03-07,EST,3576.4,3358.2
2024-03-08,EST,3428.8,3311.0
2024-03-09,EST,2530.0,2365.2
2024-03-10,EST,2524.7,2383.9
2024-03-11,EST,3504.2,3280.4
2024-03-12,EST,3542.3,3317.6
2024-03-13,EST,3448.5,3317.7
2024-03-14,EST,3364.3,3220.2
2024-03-15,EST,3466.4,3360.8
2024-03-16,EST,2393.7,2317.7
2024-03-17,EST,2407.3,2335.1
2024-03-18,EST,3575.0,3351.0
2024-03-19,EST,3480.9,3277.2
2024-03-20,EST,3560.0,3421.0
2024-03-21,EST,3615.2,3411.8
2024-03-22,EST,3496.2,3370.1
2024-03-23,EST,2479.0,2347.8
2024-03-24,EST,2511.3,2391.8
2024-03-25,EST,3547.2,3374.6
2024-03-26,EST,3563.0,3340.3
2024-03-27,EST,3522.9,3339.2
2024-03-28,EST,3634.1,3430.4
2024-03-29,EST,3499.1,3282.0
2024-03-30,EST,2454.8,2348.2
2024-01-01,OUEST,2264.1,2122.7
2024-01-02,OUEST,2272.5,2166.8
2024-01-03,OUEST,2304.3,2154.1
2024-01-04,OUEST,2252.9,2179.5
2024-01-05,OUEST,2296.3,2192.7
2024-01-06,OUEST,1570.3,1506.1
2024-01-07,OUEST,1611.8,1564.0
2024-01-08,OUEST,2177.4,2076.8
2024-01-09,OUEST,2268.1,2168.6
2024-01-10,OUEST,2225.9,2139.3
2024-01-11,OUEST,2256.5,2156.1
2024-01-12,OUEST,2211.7,2139.7
2024-01-13,OUEST,1625.1,1553.2
2024-01-14,OUEST,1568.0,1511.8
2024-01-15,OUEST,2231.5,2126.4
2024-01-16,OUEST,2254.4,2175.1
2024-01-17,OUEST,2328.3,2254.5
2024-01-18,OUEST,2198.3,2119.8
2024-01-19,OUEST,2313.9,2193.9
2024-01-20,OUEST,1581.8,1534.3
2024-01-21,OUEST,1625.4,1523.6
2024-01-22,OUEST,2253.8,2175.3
2024-01-23,OUEST,2328.0,2189.8
2024-01-24,OUEST,2266.9,2158.4
2024-01-25,OUEST,2207.1,2108.8
2024-01-26,OUEST,2256.5,2138.6
2024-01-27,OUEST,1568.8,1518.1
2024-01-28,OUEST,1629.6,1524.4
2024-01-29,OUEST,2338.1,2193.2
2024-01-30,OUEST,2245.5,2165.2
2024-01-31,OUEST,2213.1,2132.1
2024-02-01,OUEST,2331.4,2194.1
2024-02-02,OUEST,2283.2,2165.3
2024-02-03,OUEST,1623.4,1519.7
2024-02-04,OUEST,1591.8,1521.8
2024-02-05,OUEST,2264.3,2196.0
2024-02-06,OUEST,2172.1,2095.2
2024-02-07,OUEST,2238.1,2159.0
2024-02-08,OUEST,2321.0,2169.3
2024-02-09,OUEST,2252.3,2108.1
2024-02-10,OUEST,1563.7,1498.0
2024-02-11,OUEST,1599.4,1511.4
2024-02-12,OUEST,2226.1,2138.0
2024-02-13,OUEST,2189.9,2109.9
2024-02-14,OUEST,2291.6,2224.0
2024-02-15,OUEST,2286.8,2160.2
2024-02-16,OUEST,2059.8,2195.7
2024-02-17,OUEST,1657.9,1553.6
2024-02-18,OUEST,1565.1,1520.4
2024-02-19,OUEST,2272.6,2137.8
2024-02-20,OUEST,2308.5,2227.0
2024-02-21,OUEST,2276.3,2152.3
2024-02-22,OUEST,2229.7,2116.8
2024-02-23,OUEST,2202.5,2137.4
2024-02-24,OUEST,1549.9,1488.3
2024-02-25,OUEST,1590.2,1485.6
2024-02-26,OUEST,2292.6,2164.1
2024-02-27,OUEST,2290.1,2190.4
2024-02-28,OUEST,2272.9,2138.3
2024-02-29,OUEST,2305.3,2181.9
2024-03-01,OUEST,2326.7,2174.7
2024-03-02,OUEST,1604.6,1545.0
2024-03-03,OUEST,1235.8,1494.0
2024-03-04,OUEST,2256.0,2161.7
2024-03-05,OUEST,2238.8,2170.8
2024-03-06,OUEST,2234.8,2134.9
2024-03-07,OUEST,2289.8,2155.7
2024-03-08,OUEST,2237.1,2164.9
2024-03-09,OUEST,1569.6,1520.2
2024-03-10,OUEST,1348.7,1545.9
2024-03-11,OUEST,2241.1,2118.2
2024-03-12,OUEST,2251.3,2145.8
2024-03-13,OUEST,2255.8,2175.3
2024-03-14,OUEST,2290.5,2157.0
2024-03-15,OUEST,2233.8,2142.9
2024-03-16,OUEST,1647.6,1561.8
2024-03-17,OUEST,1575.4,1503.4
2024-03-18,OUEST,2308.0,2215.6
2024-03-19,OUEST,2253.6,2144.6
2024-03-20,OUEST,2194.6,2117.2
2024-03-21,OUEST,2258.9,2175.0
2024-03-22,OUEST,2366.6,2211.2
2024-03-23,OUEST,1604.3,1531.7
2024-03-24,OUEST,1626.4,1521.3
2024-03-25,OUEST,2013.6,2150.7
2024-03-26,OUEST,2297.2,2146.7
2024-03-27,OUEST,2275.1,2158.8
2024-03-28,OUEST,2230.9,2127.4
2024-03-29,OUEST,1920.5,2172.2
2024-03-30,OUEST,1569.1,1502.5
2024-01-01,CENTRE,2805.8,2681.0
2024-01-02,CENTRE,2914.9,2753.3
2024-01-03,CENTRE,2889.2,2749.9
2024-01-04,CENTRE,2764.3,2626.2
2024-01-05,CENTRE,2804.2,2720.3
2024-01-06,CENTRE,1885.8,1778.8
2024-01-07,CENTRE,1942.9,1829.1
2024-01-08,CENTRE,2867.4,2747.4
2024-01-09,CENTRE,2768.0,2686.7
2024-01-10,CENTRE,2896.4,2767.1
2024-01-11,CENTRE,2846.1,2684.5
2024-01-12,CENTRE,2856.5,2671.4
2024-01-13,CENTRE,1835.7,1777.3
2024-01-14,CENTRE,1836.8,1735.9
2024-01-15,CENTRE,2948.9,2757.1
2024-01-16,CENTRE,2790.5,2681.8
2024-01-17,CENTRE,2917.9,2766.2
2024-01-18,CENTRE,2818.3,2728.0
2024-01-19,CENTRE,2776.1,2647.0
2024-01-20,CENTRE,1896.0,1806.1
2024-01-21,CENTRE,1950.1,1843.7
2024-01-22,CENTRE,2784.7,2627.3
2024-01-23,CENTRE,2846.6,2758.2
2024-01-24,CENTRE,2916.2,2725.6
2024-01-25,CENTRE,2902.0,2726.2
2024-01-26,CENTRE,2961.0,2768.3
2024-01-27,CENTRE,1887.2,1788.1
2024-01-28,CENTRE,1913.7,1838.0
2024-01-29,CENTRE,2967.9,2774.4
2024-01-30,CENTRE,2861.6,2768.2
2024-01-31,CENTRE,2925.3,2775.2
2024-02-01,CENTRE,2844.8,2703.1
2024-02-02,CENTRE,2838.6,2725.6
2024-02-03,CENTRE,1877.2,1788.8
2024-02-04,CENTRE,1835.2,1761.9
2024-02-05,CENTRE,2923.4,2754.5
2024-02-06,CENTRE,2835.6,2729.3
2024-02-07,CENTRE,2881.2,2715.7
2024-02-08,CENTRE,2857.6,2738.3
2024-02-09,CENTRE,2810.0,2714.4
2024-02-10,CENTRE,1882.3,1767.8
2024-02-11,CENTRE,1855.1,1797.3
2024-02-12,CENTRE,2907.3,2741.0
2024-02-13,CENTRE,2840.0,2732.9
2024-02-14,CENTRE,2934.4,2761.2
2024-02-15,CENTRE,2860.2,2765.9
2024-02-16,CENTRE,2977.0,2790.2
2024-02-17,CENTRE,1900.3,1842.4
2024-02-18,CENTRE,1882.2,1783.0
2024-02-19,CENTRE,2847.6,2698.5
2024-02-20,CENTRE,2890.3,2736.7
2024-02-21,CENTRE,2800.6,2705.0
2024-02-22,CENTRE,2772.9,2650.7
2024-02-23,CENTRE,2813.4,2713.7
2024-02-24,CENTRE,1898.2,1787.0
2024-02-25,CENTRE,1868.8,1791.0
2024-02-26,CENTRE,2882.7,2731.0
2024-02-27,CENTRE,2772.9,2691.0
2024-02-28,CENTRE,2792.2,2673.2
2024-02-29,CENTRE,2928.2,2743.8
2024-03-01,CENTRE,2841.5,2704.2
2024-03-02,CENTRE,1940.0,1814.1
2024-03-03,CENTRE,1868.4,1750.0
2024-03-04,CENTRE,2867.7,2688.0
2024-03-05,CENTRE,2982.3,2799.0
2024-03-06,CENTRE,2869.0,2738.0
2024-03-07,CENTRE,2831.1,2702.4
2024-03-08,CENTRE,2886.0,2730.7
2024-03-09,CENTRE,1886.4,1779.6
2024-03-10,CENTRE,1845.2,1772.8
2024-03-11,CENTRE,2887.6,2751.7
2024-03-12,CENTRE,2883.0,2752.0
2024-03-13,CENTRE,2924.0,2758.5
2024-03-14,CENTRE,2889.7,2704.7
2024-03-15,CENTRE,2857.7,2770.5
2024-03-16,CENTRE,1772.5,1714.7
2024-03-17,CENTRE,1885.6,1800.6
2024-03-18,CENTRE,2870.6,2698.9
2024-03-19,CENTRE,2887.4,2744.4
2024-03-20,CENTRE,2856.4,2740.4
2024-03-21,CENTRE,2936.1,2741.6
2024-03-22,CENTRE,2919.9,2822.8
2024-03-23,CENTRE,1845.5,1753.9
2024-03-24,CENTRE,1880.0,1782.7
2024-03-25,CENTRE,2911.6,2735.3
2024-03-26,CENTRE,2904.3,2741.8
2024-03-27,CENTRE,2822.9,2651.1
2024-03-28,CENTRE,2824.3,2685.8
2024-03-29,CENTRE,2815.7,2715.3
2024-03-30,CENTRE,1885.4,1798.3
