client_id,feeder_id,region
RES_NOR_0113,NORD_F3,NORD
RES_NOR_0017,NORD_F3,NORD
COM_NOR_0280,NORD_F3,NORD
AGR_NOR_0225,NORD_F3,NORD
RES_NOR_0249,NORD_F3,NORD
IND_NOR_0252,NORD_F3,NORD
RES_NOR_0021,NORD_F3,NORD
IND_NOR_0091,NORD_F3,NORD
RES_NOR_0034,NORD_F3,NORD
RES_NOR_0235,NORD_F3,NORD
IND_NOR_0186,NORD_F3,NORD
COM_NOR_0193,NORD_F3,NORD
RES_NOR_0229,NORD_F3,NORD
AGR_SUD_0248,SUD_F1,SUD
COM_SUD_0131,SUD_F1,SUD
IND_SUD_0116,SUD_F1,SUD
RES_SUD_0189,SUD_F1,SUD
COM_SUD_0273,SUD_F1,SUD
RES_SUD_0234,SUD_F1,SUD
IND_SUD_0168,SUD_F1,SUD
RES_SUD_0147,SUD_F1,SUD
RES_SUD_0055,SUD_F1,SUD
AGR_SUD_0041,SUD_F1,SUD
COM_SUD_0239,SUD_F1,SUD
RES_SUD_0130,SUD_F1,SUD
RES_SUD_0187,SUD_F1,SUD
IND_SUD_0156,SUD_F1,SUD
RES_SUD_0118,SUD_F1,SUD
RES_SUD_0005,SUD_F1,SUD
RES_SUD_0039,SUD_F1,SUD
RES_SUD_0086,SUD_F1,SUD
RES_SUD_0032,SUD_F1,SUD
COM_SUD_0072,SUD_F1,SUD
RES_SUD_0051,SUD_F2,SUD
RES_SUD_0110,SUD_F2,SUD
COM_SUD_0226,SUD_F2,SUD
RES_SUD_0205,SUD_F2,SUD
RES_SUD_0010,SUD_F2,SUD
RES_SUD_0162,SUD_F2,SUD
RES_SUD_0209,SUD_F2,SUD
AGR_SUD_0219,SUD_F2,SUD
COM_SUD_0028,SUD_F2,SUD
RES_SUD_0132,SUD_F2,SUD
COM_SUD_0237,SUD_F2,SUD
RES_SUD_0057,SUD_F2,SUD
RES_SUD_0151,SUD_F2,SUD
RES_SUD_0124,SUD_F2,SUD
IND_SUD_0290,SUD_F2,SUD
RES_SUD_0123,SUD_F2,SUD
RES_SUD_0279,SUD_F2,SUD
IND_SUD_0211,SUD_F2,SUD
RES_SUD_0231,SUD_F2,SUD
RES_SUD_0040,SUD_F3,SUD
RES_SUD_0046,SUD_F3,SUD
RES_SUD_0295,SUD_F3,SUD
RES_SUD_0056,SUD_F3,SUD
RES_SUD_0129,SUD_F3,SUD
RES_SUD_0075,SUD_F3,SUD
COM_SUD_0260,SUD_F3,SUD
RES_SUD_0080,SUD_F3,SUD
IND_SUD_0084,SUD_F3,SUD
RES_SUD_0062,SUD_F3,SUD
RES_SUD_0009,SUD_F3,SUD
IND_SUD_0054,SUD_F3,SUD
AGR_SUD_0241,SUD_F3,SUD
RES_SUD_0030,SUD_F3,SUD
COM_SUD_0050,SUD_F3,SUD
RES_SUD_0296,SUD_F3,SUD
COM_SUD_0061,SUD_F3,SUD
RES_SUD_0265,SUD_F3,SUD
RES_SUD_0155,SUD_F3,SUD
IND_EST_0271,EST_F1,EST
IND_EST_0246,EST_F1,EST
RES_EST_0272,EST_F1,EST
RES_EST_0157,EST_F1,EST
RES_EST_0199,EST_F1,EST
RES_EST_0292,EST_F1,EST
AGR_EST_0228,EST_F1,EST
RES_EST_0069,EST_F1,EST
AGR_EST_0115,EST_F1,EST
RES_EST_0270,EST_F1,EST
RES_EST_0201,EST_F1,EST
RES_EST_0111,EST_F1,EST
RES_EST_0024,EST_F1,EST
RES_EST_0036,EST_F1,EST
RES_EST_0233,EST_F1,EST
IND_EST_0114,EST_F1,EST
RES_EST_0058,EST_F1,EST
IND_EST_0262,EST_F1,EST
IND_EST_0190,EST_F1,EST
RES_EST_0245,EST_F1,EST
IND_EST_0179,EST_F1,EST
RES_EST_0066,EST_F2,EST
RES_EST_0183,EST_F2,EST
COM_EST_0255,EST_F2,EST
RES_EST_0105,EST_F2,EST
RES_EST_0095,EST_F2,EST
RES_EST_0031,EST_F2,EST
RES_EST_0218,EST_F2,EST
RES_EST_0137,EST_F2,EST
AGR_EST_0140,EST_F2,EST
RES_EST_0133,EST_F2,EST
RES_EST_0007,EST_F2,EST
RES_EST_0204,EST_F2,EST
IND_EST_0194,EST_F2,EST
IND_EST_0274,EST_F2,EST
RES_EST_0286,EST_F2,EST
COM_EST_0224,EST_F2,EST
RES_EST_0142,EST_F2,EST
RES_EST_0006,EST_F2,EST
IND_EST_0167,EST_F2,EST
RES_EST_0220,EST_F2,EST
COM_EST_0079,EST_F2,EST
RES_EST_0284,EST_F3,EST
COM_EST_0163,EST_F3,EST
AGR_EST_0165,EST_F3,EST
RES_EST_0213,EST_F3,EST
AGR_EST_0184,EST_F3,EST
RES_EST_0043,EST_F3,EST
RES_EST_0149,EST_F3,EST
COM_EST_0153,EST_F3,EST
COM_EST_0276,EST_F3,EST
COM_EST_0023,EST_F3,EST
IND_EST_0192,EST_F3,EST
IND_EST_0174,EST_F3,EST
RES_EST_0221,EST_F3,EST
RES_EST_0269,EST_F3,EST
AGR_EST_0236,EST_F3,EST
AGR_EST_0053,EST_F3,EST
RES_EST_0126,EST_F3,EST
COM_EST_0011,EST_F3,EST
AGR_EST_0087,EST_F3,EST
COM_EST_0299,EST_F3,EST
IND_OUE_0090,OUEST_F1,OUEST
IND_OUE_0175,OUEST_F1,OUEST
COM_OUE_0298,OUEST_F1,OUEST
COM_OUE_0161,OUEST_F1,OUEST
RES_OUE_0000,OUEST_F1,OUEST
RES_OUE_0145,OUEST_F1,OUEST
RES_OUE_0065,OUEST_F1,OUEST
RES_OUE_0099,OUEST_F1,OUEST
RES_OUE_0232,OUEST_F1,OUEST
RES_OUE_0076,OUEST_F1,OUEST
RES_OUE_0094,OUEST_F1,OUEST
RES_OUE_0230,OUEST_F1,OUEST
RES_OUE_0048,OUEST_F1,OUEST
RES_OUE_0164,OUEST_F1,OUEST
RES_OUE_0282,OUEST_F1,OUEST
RES_OUE_0283,OUEST_F1,OUEST
RES_OUE_0102,OUEST_F1,OUEST
RES_OUE_0004,OUEST_F1,OUEST
RES_OUE_0060,OUEST_F2,OUEST
COM_OUE_0223,OUEST_F2,OUEST
RES_OUE_0089,OUEST_F2,OUEST
RES_OUE_0029,OUEST_F2,OUEST
RES_OUE_0119,OUEST_F2,OUEST
RES_OUE_0125,OUEST_F2,OUEST
AGR_OUE_0191,OUEST_F2,OUEST
AGR_OUE_0103,OUEST_F2,OUEST
COM_OUE_0059,OUEST_F2,OUEST
RES_OUE_0264,OUEST_F2,OUEST
COM_OUE_0154,OUEST_F2,OUEST
IND_OUE_0294,OUEST_F2,OUEST
COM_OUE_0077,OUEST_F2,OUEST
RES_OUE_0261,OUEST_F2,OUEST
RES_OUE_0259,OUEST_F2,OUEST
RES_OUE_0106,OUEST_F2,OUEST
RES_OUE_0096,OUEST_F2,OUEST
RES_OUE_0148,OUEST_F2,OUEST
COM_OUE_0044,OUEST_F3,OUEST
RES_OUE_0141,OUEST_F3,OUEST
COM_OUE_0169,OUEST_F3,OUEST
COM_OUE_0206,OUEST_F3,OUEST
IND_OUE_0266,OUEST_F3,OUEST
RES_OUE_0042,OUEST_F3,OUEST
RES_OUE_0240,OUEST_F3,OUEST
COM_OUE_0195,OUEST_F3,OUEST
COM_OUE_0052,OUEST_F3,OUEST
RES_OUE_0068,OUEST_F3,OUEST
RES_OUE_0033,OUEST_F3,OUEST
RES_OUE_0022,OUEST_F3,OUEST
IND_OUE_0128,OUEST_F3,OUEST
RES_OUE_0244,OUEST_F3,OUEST
RES_OUE_0160,OUEST_F3,OUEST
RES_OUE_0253,OUEST_F3,OUEST
COM_OUE_0107,OUEST_F3,OUEST
AGR_OUE_0238,OUEST_F3,OUEST
COM_CEN_0008,CENTRE_F1,CENTRE
AGR_CEN_0185,CENTRE_F1,CENTRE
RES_CEN_0121,CENTRE_F1,CENTRE
RES_CEN_0120,CENTRE_F1,CENTRE
RES_CEN_0247,CENTRE_F1,CENTRE
AGR_CEN_0073,CENTRE_F1,CENTRE
COM_CEN_0180,CENTRE_F1,CENTRE
AGR_CEN_0038,CENTRE_F1,CENTRE
RES_CEN_0215,CENTRE_F1,CENTRE
COM_CEN_0127,CENTRE_F1,CENTRE
IND_CEN_0278,CENTRE_F1,CENTRE
RES_CEN_0104,CENTRE_F1,CENTRE
COM_CEN_0082,CENTRE_F1,CENTRE
COM_CEN_0166,CENTRE_F1,CENTRE
RES_CEN_0203,CENTRE_F1,CENTRE
IND_CEN_0198,CENTRE_F1,CENTRE
COM_CEN_0158,CENTRE_F1,CENTRE
COM_CEN_0254,CENTRE_F1,CENTRE
RES_CEN_0064,CENTRE_F1,CENTRE
COM_CEN_0227,CENTRE_F1,CENTRE
RES_CEN_0291,CENTRE_F2,CENTRE
IND_CEN_0177,CENTRE_F2,CENTRE
RES_CEN_0243,CENTRE_F2,CENTRE
RES_CEN_0067,CENTRE_F2,CENTRE
AGR_CEN_0170,CENTRE_F2,CENTRE
RES_CEN_0100,CENTRE_F2,CENTRE
RES_CEN_0287,CENTRE_F2,CENTRE
RES_CEN_0047,CENTRE_F2,CENTRE
RES_CEN_0037,CENTRE_F2,CENTRE
RES_CEN_0049,CENTRE_F2,CENTRE
RES_CEN_0070,CENTRE_F2,CENTRE
COM_CEN_0013,CENTRE_F2,CENTRE
AGR_CEN_0197,CENTRE_F2,CENTRE
RES_CEN_0263,CENTRE_F2,CENTRE
RES_CEN_0277,CENTRE_F2,CENTRE
COM_CEN_0085,CENTRE_F2,CENTRE
RES_CEN_0289,CENTRE_F2,CENTRE
RES_CEN_0200,CENTRE_F2,CENTRE
AGR_CEN_0208,CENTRE_F2,CENTRE
AGR_CEN_0002,CENTRE_F3,CENTRE
COM_CEN_0139,CENTRE_F3,CENTRE
IND_CEN_0202,CENTRE_F3,CENTRE
RES_CEN_0178,CENTRE_F3,CENTRE
AGR_CEN_0014,CENTRE_F3,CENTRE
RES_CEN_0222,CENTRE_F3,CENTRE
RES_CEN_0267,CENTRE_F3,CENTRE
COM_CEN_0288,CENTRE_F3,CENTRE
RES_CEN_0122,CENTRE_F3,CENTRE
RES_CEN_0171,CENTRE_F3,CENTRE
COM_CEN_0088,CENTRE_F3,CENTRE
RES_CEN_0196,CENTRE_F3,CENTRE
IND_CEN_0159,CENTRE_F3,CENTRE
RES_CEN_0026,CENTRE_F3,CENTRE
RES_CEN_0092,CENTRE_F3,CENTRE
IND_CEN_0217,CENTRE_F3,CENTRE
COM_CEN_0207,CENTRE_F3,CENTRE
COM_CEN_0015,CENTRE_F3,CENTRE
RES_CEN_0138,CENTRE_F3,CENTRE
